Id_Cotacao;AnoMes;DOL-BRL;;;;;;;
1;20021;2.38;;;;;;;
2;20022;2.42;;;;;;;
3;20023;2.35;;;;;;;
4;20024;2.32;;;;;;;
5;20025;2.48;;;;;;;
6;20026;2.71;;;;;;;
7;20027;2.94;;;;;;;
8;20028;3.11;;;;;;;
9;20029;3.35;;;;;;;
10;200210;3.80;;;;;;;
11;200211;3.59;;;;;;;
12;200212;3.63;;;;;;;
13;20031;3.44;;;;;;;
14;20032;3.60;;;;;;;
15;20033;3.46;;;;;;;
16;20034;3.11;;;;;;;
17;20035;2.95;;;;;;;
18;20036;2.89;;;;;;;
19;20037;2.88;;;;;;;
20;20038;3.01;;;;;;;
21;20039;2.92;;;;;;;
22;200310;2.86;;;;;;;
23;200311;2.92;;;;;;;
24;200312;2.93;;;;;;;
25;20041;2.85;;;;;;;
26;20042;2.93;;;;;;;
27;20043;2.91;;;;;;;
28;20044;2.91;;;;;;;
29;20045;3.10;;;;;;;
30;20046;3.13;;;;;;;
31;20047;3.04;;;;;;;
32;20048;3.00;;;;;;;
33;20049;2.89;;;;;;;
34;200410;2.85;;;;;;;
35;200411;2.79;;;;;;;
36;200412;2.72;;;;;;;
37;20051;2.69;;;;;;;
38;20052;2.60;;;;;;;
39;20053;2.71;;;;;;;
40;20054;2.58;;;;;;;
41;20055;2.46;;;;;;;
42;20056;2.41;;;;;;;
43;20057;2.37;;;;;;;
44;20058;2.36;;;;;;;
45;20059;2.29;;;;;;;
46;200510;2.25;;;;;;;
47;200511;2.21;;;;;;;
48;200512;2.28;;;;;;;
49;20061;2.27;;;;;;;
50;20062;2.16;;;;;;;
51;20063;2.15;;;;;;;
52;20064;2.13;;;;;;;
53;20065;2.17;;;;;;;
54;20066;2.25;;;;;;;
55;20067;2.19;;;;;;;
56;20068;2.16;;;;;;;
57;20069;2.17;;;;;;;
58;200610;2.15;;;;;;;
59;200611;2.16;;;;;;;
60;200612;2.15;;;;;;;
61;20071;2.14;;;;;;;
62;20072;2.09;;;;;;;
63;20073;2.09;;;;;;;
64;20074;2.03;;;;;;;
65;20075;1.98;;;;;;;
66;20076;1.93;;;;;;;
67;20077;1.88;;;;;;;
68;20078;1.96;;;;;;;
69;20079;1.90;;;;;;;
70;200710;1.80;;;;;;;
71;200711;1.77;;;;;;;
72;200712;1.79;;;;;;;
73;20081;1.77;;;;;;;
74;20082;1.73;;;;;;;
75;20083;1.71;;;;;;;
76;20084;1.69;;;;;;;
77;20085;1.66;;;;;;;
78;20086;1.62;;;;;;;
79;20087;1.59;;;;;;;
80;20088;1.61;;;;;;;
81;20089;1.80;;;;;;;
82;200810;2.18;;;;;;;
83;200811;2.27;;;;;;;
84;200812;2.40;;;;;;;
85;20091;2.31;;;;;;;
86;20092;2.32;;;;;;;
87;20093;2.32;;;;;;;
88;20094;2.20;;;;;;;
89;20095;2.07;;;;;;;
90;20096;1.96;;;;;;;
91;20097;1.93;;;;;;;
92;20098;1.85;;;;;;;
93;20099;1.82;;;;;;;
94;200910;1.74;;;;;;;
95;200911;1.73;;;;;;;
96;200912;1.75;;;;;;;
97;20101;1.78;;;;;;;
98;20102;1.84;;;;;;;
99;20103;1.79;;;;;;;
100;20104;1.76;;;;;;;
101;20105;1.81;;;;;;;
102;20106;1.80;;;;;;;
103;20107;1.77;;;;;;;
104;20108;1.76;;;;;;;
105;20109;1.72;;;;;;;
106;201010;1.68;;;;;;;
107;201011;1.71;;;;;;;
108;201012;1.70;;;;;;;
109;20111;1.67;;;;;;;
110;20112;1.67;;;;;;;
111;20113;1.66;;;;;;;
112;20114;1.58;;;;;;;
113;20115;1.61;;;;;;;
114;20116;1.59;;;;;;;
115;20117;1.56;;;;;;;
116;20118;1.60;;;;;;;
117;20119;1.75;;;;;;;
118;201110;1.77;;;;;;;
119;201111;1.79;;;;;;;
120;201112;1.84;;;;;;;
121;20121;1.79;;;;;;;
122;20122;1.72;;;;;;;
123;20123;1.80;;;;;;;
124;20124;1.85;;;;;;;
125;20125;1.98;;;;;;;
126;20126;2.05;;;;;;;
127;20127;2.03;;;;;;;
128;20128;2.03;;;;;;;
129;20129;2.03;;;;;;;
130;201210;2.03;;;;;;;
131;201211;2.07;;;;;;;
132;201212;2.08;;;;;;;
133;20131;2.03;;;;;;;
134;20132;1.97;;;;;;;
135;20133;1.98;;;;;;;
136;20134;2.00;;;;;;;
137;20135;2.04;;;;;;;
138;20136;2.17;;;;;;;
139;20137;2.25;;;;;;;
140;20138;2.34;;;;;;;
141;20139;2.26;;;;;;;
142;201310;2.19;;;;;;;
143;201311;2.30;;;;;;;
144;201312;2.35;;;;;;;
145;20141;2.39;;;;;;;
146;20142;2.38;;;;;;;
147;20143;2.33;;;;;;;
148;20144;2.23;;;;;;;
149;20145;2.22;;;;;;;
150;20146;2.24;;;;;;;
151;20147;2.22;;;;;;;
152;20148;2.27;;;;;;;
153;20149;2.34;;;;;;;
154;201410;2.45;;;;;;;
155;201411;2.55;;;;;;;
156;201412;2.64;;;;;;;
157;20151;2.63;;;;;;;
158;20152;2.82;;;;;;;
159;20153;3.14;;;;;;;
160;20154;3.04;;;;;;;
161;20155;3.06;;;;;;;
162;20156;3.11;;;;;;;
163;20157;3.23;;;;;;;
164;20158;3.52;;;;;;;
165;20159;3.90;;;;;;;
166;201510;3.88;;;;;;;
167;201511;3.79;;;;;;;
168;201512;3.88;;;;;;;
169;20161;4.06;;;;;;;
170;20162;3.96;;;;;;;
171;20163;3.70;;;;;;;
172;20164;3.56;;;;;;;
173;20165;3.54;;;;;;;
174;20166;3.42;;;;;;;
175;20167;3.28;;;;;;;
176;20168;3.21;;;;;;;
177;20169;3.25;;;;;;;
178;201610;3.19;;;;;;;
179;201611;3.34;;;;;;;
180;201612;3.35;;;;;;;
181;20171;3.19;;;;;;;
182;20172;3.11;;;;;;;
183;20173;3.13;;;;;;;
184;20174;3.14;;;;;;;
185;20175;3.20;;;;;;;
186;20176;3.30;;;;;;;
187;20177;3.20;;;;;;;
188;20178;3.15;;;;;;;
189;20179;3.13;;;;;;;
190;201710;3.19;;;;;;;
191;201711;3.26;;;;;;;
192;201712;3.30;;;;;;;
193;20181;3.21;;;;;;;
194;20182;3.25;;;;;;;
195;20183;3.28;;;;;;;
196;20184;3.41;;;;;;;
197;20185;3.63;;;;;;;
198;20186;3.77;;;;;;;
199;20187;3.82;;;;;;;
200;20188;3.93;;;;;;;
201;20189;4.11;;;;;;;
202;201810;3.76;;;;;;;
203;201811;3.79;;;;;;;
204;201812;3.88;;;;;;;
205;20191;3.74;;;;;;;
206;20192;3.72;;;;;;;
207;20193;3.84;;;;;;;
208;20194;3.90;;;;;;;
209;20195;3.99;;;;;;;
210;20196;3.86;;;;;;;
211;20197;3.78;;;;;;;
212;20198;4.02;;;;;;;
213;20199;4.12;;;;;;;
214;201910;4.08;;;;;;;
215;201911;4.16;;;;;;;
216;201912;4.10;;;;;;;
217;20201;4.15;;;;;;;
218;20202;4.35;;;;;;;
