Id_Cotacao;AnoMes;DOL-MEX
1;20021;9.16
2;20022;9.11
3;20023;9.06
4;20024;9.16
5;20025;9.51
6;20026;9.77
7;20027;9.78
8;20028;9.84
9;20029;10.07
10;200210;10.09
11;200211;10.20
12;200212;10.23
13;20031;10.62
14;20032;10.94
15;20033;10.91
16;20034;10.59
17;20035;10.25
18;20036;10.50
19;20037;10.46
20;20038;10.78
21;20039;10.92
22;200310;11.18
23;200311;11.15
24;200312;11.25
25;20041;10.92
26;20042;11.03
27;20043;11.02
28;20044;11.27
29;20045;11.52
30;20046;11.39
31;20047;11.47
32;20048;11.40
33;20049;11.49
34;200410;11.40
35;200411;11.37
36;200412;11.20
37;20051;11.26
38;20052;11.14
39;20053;11.16
40;20054;11.11
41;20055;10.98
42;20056;10.82
43;20057;10.67
44;20058;10.69
45;20059;10.79
46;200510;10.84
47;200511;10.67
48;200512;10.63
49;20061;10.54
50;20062;10.48
51;20063;10.75
52;20064;11.05
53;20065;11.09
54;20066;11.39
55;20067;10.98
56;20068;10.87
57;20069;10.99
58;200610;10.89
59;200611;10.91
60;200612;10.85
61;20071;10.96
62;20072;11.00
63;20073;11.11
64;20074;10.98
65;20075;10.82
66;20076;10.83
67;20077;10.81
68;20078;11.04
69;20079;11.03
70;200710;10.82
71;200711;10.88
72;200712;10.85
73;20081;10.91
74;20082;10.77
75;20083;10.73
76;20084;10.51
77;20085;10.44
78;20086;10.33
79;20087;10.21
80;20088;10.12
81;20089;10.66
82;200810;12.66
83;200811;13.12
84;200812;13.42
85;20091;13.88
86;20092;14.61
87;20093;14.65
88;20094;13.40
89;20095;13.19
90;20096;13.34
91;20097;13.36
92;20098;13.01
93;20099;13.41
94;200910;13.23
95;200911;13.11
96;200912;12.86
97;20101;12.81
98;20102;12.94
99;20103;12.57
100;20104;12.24
101;20105;12.73
102;20106;12.71
103;20107;12.80
104;20108;12.77
105;20109;12.80
106;201010;12.44
107;201011;12.34
108;201012;12.39
109;20111;12.13
110;20112;12.06
111;20113;12.00
112;20114;11.71
113;20115;11.65
114;20116;11.81
115;20117;11.67
116;20118;12.24
117;20119;13.06
118;201110;13.44
119;201111;13.70
120;201112;13.77
121;20121;13.38
122;20122;12.78
123;20123;12.75
124;20124;13.06
125;20125;13.62
126;20126;13.92
127;20127;13.36
128;20128;13.18
129;20129;12.92
130;201210;12.90
131;201211;13.06
132;201212;12.87
133;20131;12.70
134;20132;12.72
135;20133;12.50
136;20134;12.21
137;20135;12.30
138;20136;12.96
139;20137;12.76
140;20138;12.91
141;20139;13.06
142;201310;12.99
143;201311;13.06
144;201312;13.01
145;20141;13.22
146;20142;13.29
147;20143;13.19
148;20144;13.07
149;20145;12.93
150;20146;12.99
151;20147;12.99
152;20148;13.14
153;20149;13.24
154;201410;13.48
155;201411;13.61
156;201412;14.52
157;20151;14.70
158;20152;14.92
159;20153;15.24
160;20154;15.19
161;20155;15.28
162;20156;15.48
163;20157;15.95
164;20158;16.53
165;20159;16.84
166;201510;16.57
167;201511;16.63
168;201512;17.07
169;20161;18.06
170;20162;18.43
171;20163;17.63
172;20164;17.48
173;20165;18.14
174;20166;18.65
175;20167;18.62
176;20168;18.47
177;20169;19.24
178;201610;18.89
179;201611;20.01
180;201612;20.50
181;20171;21.39
182;20172;20.30
183;20173;19.28
184;20174;18.77
185;20175;18.77
186;20176;18.13
187;20177;17.81
188;20178;17.80
189;20179;17.83
190;201710;18.82
191;201711;18.93
192;201712;19.18
193;20181;18.91
194;20182;18.65
195;20183;18.59
196;20184;18.39
197;20185;19.55
198;20186;20.29
199;20187;18.99
200;20188;18.86
201;20189;19.00
202;201810;19.20
203;201811;20.24
204;201812;20.10
205;20191;19.17
206;20192;19.20
207;20193;19.24
208;20194;18.96
209;20195;19.11
210;20196;19.27
211;20197;19.05
212;20198;19.68
213;20199;19.55
214;201910;19.32
215;201911;19.33
216;201912;19.10
217;20201;18.81
218;20202;18.84
219;20203;22.38
220;20204;24.18
221;20205;23.52
222;20206;22.31
223;20207;22.40
224;20208;22.20
225;20209;21.66
226;202010;21.28
227;202011;20.46
228;202012;19.96
229;20211;19.94
230;20212;20.33
231;20213;20.75
232;20214;20.04
233;20215;19.96
234;20216;20.03
235;20217;19.97
236;20218;20.08
237;20219;20.05
238;202110;20.44
239;202111;20.87
240;202112;20.93
241;20221;20.51
242;20222;20.46
243;20223;20.54
244;20224;20.09
245;20225;20.06
246;20226;20.01
247;20227;20.55
248;20228;20.11
249;20229;20.07
250;202210;19.98
251;202211;19.45
252;202212;19.61
253;20231;18.97
254;20232;18.64
255;20233;18.39
256;20234;18.09
257;20235;17.75
258;20236;17.24
259;20237;16.89
260;20238;16.98
261;20239;17.31
262;202310;18.06
263;202311;17.36
264;202312;17.19
265;20241;17.09
266;20242;17.09
267;20243;16.77
268;20244;16.80
269;20245;16.80
270;20246;18.19
271;20247;18.10
272;20248;19.14
