Id_Cotacao;AnoMes;DOL-ZAR
1;20021;11.63
2;20022;11.49
3;20023;11.49
4;20024;11.08
5;20025;10.16
6;20026;10.18
7;20027;10.10
8;20028;10.59
9;20029;10.60
10;200210;10.31
11;200211;9.65
12;200212;8.95
13;20031;8.69
14;20032;8.29
15;20033;8.05
16;20034;7.66
17;20035;7.66
18;20036;7.86
19;20037;7.55
20;20038;7.39
21;20039;7.31
22;200310;6.96
23;200311;6.72
24;200312;6.54
25;20041;6.94
26;20042;6.75
27;20043;6.61
28;20044;6.57
29;20045;6.80
30;20046;6.42
31;20047;6.14
32;20048;6.47
33;20049;6.53
34;200410;6.38
35;200411;6.03
36;200412;5.72
37;20051;5.96
38;20052;6.00
39;20053;6.03
40;20054;6.15
41;20055;6.33
42;20056;6.74
43;20057;6.70
44;20058;6.46
45;20059;6.37
46;200510;6.59
47;200511;6.66
48;200512;6.35
49;20061;6.08
50;20062;6.12
51;20063;6.24
52;20064;6.08
53;20065;6.31
54;20066;6.97
55;20067;7.07
56;20068;6.95
57;20069;7.45
58;200610;7.63
59;200611;7.25
60;200612;7.03
61;20071;7.19
62;20072;7.18
63;20073;7.35
64;20074;7.10
65;20075;7.01
66;20076;7.15
67;20077;6.97
68;20078;7.22
69;20079;7.10
70;200710;6.76
71;200711;6.70
72;200712;6.84
73;20081;7.00
74;20082;7.66
75;20083;7.99
76;20084;7.76
77;20085;7.61
78;20086;7.94
79;20087;7.61
80;20088;7.67
81;20089;8.08
82;200810;9.78
83;200811;10.11
84;200812;9.92
85;20091;9.91
86;20092;9.98
87;20093;9.95
88;20094;8.96
89;20095;8.37
90;20096;8.03
91;20097;7.94
92;20098;7.94
93;20099;7.50
94;200910;7.49
95;200911;7.51
96;200912;7.48
97;20101;7.46
98;20102;7.67
99;20103;7.41
100;20104;7.34
101;20105;7.65
102;20106;7.64
103;20107;7.52
104;20108;7.29
105;20109;7.11
106;201010;6.91
107;201011;6.97
108;201012;6.82
109;20111;6.92
110;20112;7.18
111;20113;6.90
112;20114;6.72
113;20115;6.86
114;20116;6.79
115;20117;6.79
116;20118;7.09
117;20119;7.58
118;201110;7.95
119;201111;8.15
120;201112;8.19
121;20121;8.00
122;20122;7.64
123;20123;7.61
124;20124;7.83
125;20125;8.15
126;20126;8.38
127;20127;8.25
128;20128;8.26
129;20129;8.26
130;201210;8.64
131;201211;8.80
132;201212;8.61
133;20131;8.80
134;20132;8.88
135;20133;9.19
136;20134;9.10
137;20135;9.35
138;20136;10.00
139;20137;9.91
140;20138;10.07
141;20139;9.96
142;201310;9.90
143;201311;10.20
144;201312;10.37
145;20141;10.89
146;20142;10.95
147;20143;10.74
148;20144;10.54
149;20145;10.41
150;20146;10.68
151;20147;10.66
152;20148;10.66
153;20149;10.99
154;201410;11.06
155;201411;11.09
156;201412;11.50
157;20151;11.55
158;20152;11.58
159;20153;12.09
160;20154;11.98
161;20155;11.97
162;20156;12.29
163;20157;12.46
164;20158;12.90
165;20159;13.64
166;201510;13.49
167;201511;14.14
168;201512;15.00
169;20161;16.33
170;20162;15.76
171;20163;15.38
172;20164;14.59
173;20165;15.33
174;20166;15.05
175;20167;14.39
176;20168;13.78
177;20169;14.03
178;201610;13.93
179;201611;13.91
180;201612;13.84
181;20171;13.54
182;20172;13.19
183;20173;12.92
184;20174;13.45
185;20175;13.26
186;20176;12.89
187;20177;13.15
188;20178;13.21
189;20179;13.17
190;201710;13.70
191;201711;14.04
192;201712;13.09
193;20181;12.20
194;20182;11.82
195;20183;11.84
196;20184;12.11
197;20185;12.54
198;20186;13.31
199;20187;13.37
200;20188;14.09
201;20189;14.75
202;201810;14.49
203;201811;14.09
204;201812;14.26
205;20191;13.82
206;20192;13.81
207;20193;14.39
208;20194;14.15
209;20195;14.42
210;20196;14.59
211;20197;14.04
212;20198;15.16
213;20199;14.83
214;201910;14.91
215;201911;14.79
216;201912;14.40
217;20201;14.41
218;20202;15.02
219;20203;16.68
220;20204;18.57
221;20205;18.18
222;20206;17.13
223;20207;16.74
224;20208;17.24
225;20209;16.73
226;202010;16.43
227;202011;15.55
228;202012;14.88
229;20211;15.14
230;20212;14.78
231;20213;14.97
232;20214;14.41
233;20215;14.04
234;20216;13.91
235;20217;14.54
236;20218;14.76
237;20219;14.59
238;202110;14.84
239;202111;15.53
240;202112;15.89
241;20221;15.47
242;20222;15.22
243;20223;14.96
244;20224;15.04
245;20225;15.91
246;20226;15.81
247;20227;16.87
248;20228;16.69
249;20229;17.60
250;202210;18.10
251;202211;17.48
252;202212;17.28
253;20231;17.11
254;20232;17.91
255;20233;18.26
256;20234;18.19
257;20235;19.03
258;20236;18.74
259;20237;18.14
260;20238;18.77
261;20239;18.97
262;202310;19.02
263;202311;18.52
264;202312;18.63
265;20241;18.81
266;20242;19.02
267;20243;18.85
268;20244;18.88
269;20245;18.41
270;20246;18.43
271;20247;18.25
272;20248;18.04
