Id;AnoMes;vl_inflacao;;;;;;;
1;20021;7.62;;;;;;;
2;20022;7.51;;;;;;;
3;20023;7.75;;;;;;;
4;20024;7.98;;;;;;;
5;20025;7.77;;;;;;;
6;20026;7.66;;;;;;;
7;20027;7.51;;;;;;;
8;20028;7.46;;;;;;;
9;20029;7.93;;;;;;;
10;200210;8.45;;;;;;;
11;200211;10.93;;;;;;;
12;200212;12.53;;;;;;;
13;20031;14.47;;;;;;;
14;20032;15.85;;;;;;;
15;20033;16.57;;;;;;;
16;20034;16.77;;;;;;;
17;20035;17.24;;;;;;;
18;20036;16.57;;;;;;;
19;20037;15.43;;;;;;;
20;20038;15.07;;;;;;;
21;20039;15.14;;;;;;;
22;200310;13.98;;;;;;;
23;200311;11.02;;;;;;;
24;200312;9.30;;;;;;;
25;20041;7.71;;;;;;;
26;20042;6.69;;;;;;;
27;20043;5.89;;;;;;;
28;20044;5.26;;;;;;;
29;20045;5.15;;;;;;;
30;20046;6.06;;;;;;;
31;20047;6.81;;;;;;;
32;20048;7.18;;;;;;;
33;20049;6.70;;;;;;;
34;200410;6.86;;;;;;;
35;200411;7.24;;;;;;;
36;200412;7.60;;;;;;;
37;20051;7.41;;;;;;;
38;20052;7.39;;;;;;;
39;20053;7.54;;;;;;;
40;20054;8.07;;;;;;;
41;20055;8.05;;;;;;;
42;20056;7.27;;;;;;;
43;20057;6.57;;;;;;;
44;20058;6.02;;;;;;;
45;20059;6.04;;;;;;;
46;200510;6.36;;;;;;;
47;200511;6.22;;;;;;;
48;200512;5.69;;;;;;;
49;20061;5.70;;;;;;;
50;20062;5.51;;;;;;;
51;20063;5.32;;;;;;;
52;20064;4.63;;;;;;;
53;20065;4.23;;;;;;;
54;20066;4.03;;;;;;;
55;20067;3.97;;;;;;;
56;20068;3.84;;;;;;;
57;20069;3.70;;;;;;;
58;200610;3.26;;;;;;;
59;200611;3.02;;;;;;;
60;200612;3.14;;;;;;;
61;20071;2.99;;;;;;;
62;20072;3.02;;;;;;;
63;20073;2.96;;;;;;;
64;20074;3.00;;;;;;;
65;20075;3.18;;;;;;;
66;20076;3.69;;;;;;;
67;20077;3.74;;;;;;;
68;20078;4.18;;;;;;;
69;20079;4.15;;;;;;;
70;200710;4.12;;;;;;;
71;200711;4.19;;;;;;;
72;200712;4.46;;;;;;;
73;20081;4.56;;;;;;;
74;20082;4.61;;;;;;;
75;20083;4.73;;;;;;;
76;20084;5.04;;;;;;;
77;20085;5.58;;;;;;;
78;20086;6.06;;;;;;;
79;20087;6.37;;;;;;;
80;20088;6.17;;;;;;;
81;20089;6.25;;;;;;;
82;200810;6.41;;;;;;;
83;200811;6.39;;;;;;;
84;200812;5.90;;;;;;;
85;20091;5.84;;;;;;;
86;20092;5.90;;;;;;;
87;20093;5.61;;;;;;;
88;20094;5.53;;;;;;;
89;20095;5.20;;;;;;;
90;20096;4.80;;;;;;;
91;20097;4.50;;;;;;;
92;20098;4.36;;;;;;;
93;20099;4.34;;;;;;;
94;200910;4.17;;;;;;;
95;200911;4.22;;;;;;;
96;200912;4.31;;;;;;;
97;20101;4.59;;;;;;;
98;20102;4.83;;;;;;;
99;20103;5.17;;;;;;;
100;20104;5.26;;;;;;;
101;20105;5.22;;;;;;;
102;20106;4.84;;;;;;;
103;20107;4.60;;;;;;;
104;20108;4.49;;;;;;;
105;20109;4.70;;;;;;;
106;201010;5.20;;;;;;;
107;201011;5.63;;;;;;;
108;201012;5.91;;;;;;;
109;20111;5.99;;;;;;;
110;20112;6.01;;;;;;;
111;20113;6.30;;;;;;;
112;20114;6.51;;;;;;;
113;20115;6.55;;;;;;;
114;20116;6.71;;;;;;;
115;20117;6.87;;;;;;;
116;20118;7.23;;;;;;;
117;20119;7.31;;;;;;;
118;201110;6.97;;;;;;;
119;201111;6.64;;;;;;;
120;201112;6.50;;;;;;;
121;20121;6.22;;;;;;;
122;20122;5.84;;;;;;;
123;20123;5.24;;;;;;;
124;20124;5.10;;;;;;;
125;20125;4.99;;;;;;;
126;20126;4.92;;;;;;;
127;20127;5.20;;;;;;;
128;20128;5.24;;;;;;;
129;20129;5.28;;;;;;;
130;201210;5.45;;;;;;;
131;201211;5.53;;;;;;;
132;201212;5.84;;;;;;;
133;20131;6.15;;;;;;;
134;20132;6.31;;;;;;;
135;20133;6.59;;;;;;;
136;20134;6.49;;;;;;;
137;20135;6.50;;;;;;;
138;20136;6.70;;;;;;;
139;20137;6.27;;;;;;;
140;20138;6.09;;;;;;;
141;20139;5.86;;;;;;;
142;201310;5.84;;;;;;;
143;201311;5.77;;;;;;;
144;201312;5.91;;;;;;;
145;20141;5.59;;;;;;;
146;20142;5.68;;;;;;;
147;20143;6.15;;;;;;;
148;20144;6.28;;;;;;;
149;20145;6.37;;;;;;;
150;20146;6.52;;;;;;;
151;20147;6.50;;;;;;;
152;20148;6.51;;;;;;;
153;20149;6.75;;;;;;;
154;201410;6.59;;;;;;;
155;201411;6.56;;;;;;;
156;201412;6.41;;;;;;;
157;20151;7.14;;;;;;;
158;20152;7.70;;;;;;;
159;20153;8.13;;;;;;;
160;20154;8.17;;;;;;;
161;20155;8.47;;;;;;;
162;20156;8.89;;;;;;;
163;20157;9.56;;;;;;;
164;20158;9.53;;;;;;;
165;20159;9.49;;;;;;;
166;201510;9.93;;;;;;;
167;201511;10.48;;;;;;;
168;201512;10.67;;;;;;;
169;20161;10.71;;;;;;;
170;20162;10.36;;;;;;;
171;20163;9.39;;;;;;;
172;20164;9.28;;;;;;;
173;20165;9.32;;;;;;;
174;20166;8.84;;;;;;;
175;20167;8.74;;;;;;;
176;20168;8.97;;;;;;;
177;20169;8.48;;;;;;;
178;201610;7.87;;;;;;;
179;201611;6.99;;;;;;;
180;201612;6.29;;;;;;;
181;20171;5.35;;;;;;;
182;20172;4.76;;;;;;;
183;20173;4.57;;;;;;;
184;20174;4.08;;;;;;;
185;20175;3.60;;;;;;;
186;20176;3.00;;;;;;;
187;20177;2.71;;;;;;;
188;20178;2.46;;;;;;;
189;20179;2.54;;;;;;;
190;201710;2.70;;;;;;;
191;201711;2.80;;;;;;;
192;201712;2.95;;;;;;;
193;20181;2.86;;;;;;;
194;20182;2.84;;;;;;;
195;20183;2.68;;;;;;;
196;20184;2.76;;;;;;;
197;20185;2.86;;;;;;;
198;20186;4.39;;;;;;;
199;20187;4.48;;;;;;;
200;20188;4.19;;;;;;;
201;20189;4.53;;;;;;;
202;201810;4.56;;;;;;;
203;201811;4.05;;;;;;;
204;201812;3.75;;;;;;;
205;20191;3.78;;;;;;;
206;20192;3.89;;;;;;;
207;20193;4.58;;;;;;;
208;20194;4.94;;;;;;;
209;20195;4.66;;;;;;;
210;20196;3.37;;;;;;;
211;20197;3.22;;;;;;;
212;20198;3.43;;;;;;;
