Id;AnoMes;vl_inflacao;;;;;;;
1;20021;4.79;;;;;;;
2;20022;4.79;;;;;;;
3;20023;4.66;;;;;;;
4;20024;4.70;;;;;;;
5;20025;4.68;;;;;;;
6;20026;4.94;;;;;;;
7;20027;5.51;;;;;;;
8;20028;5.29;;;;;;;
9;20029;4.95;;;;;;;
10;200210;4.94;;;;;;;
11;200211;5.39;;;;;;;
12;200212;5.70;;;;;;;
13;20031;5.16;;;;;;;
14;20032;5.52;;;;;;;
15;20033;5.64;;;;;;;
16;20034;5.25;;;;;;;
17;20035;4.70;;;;;;;
18;20036;4.27;;;;;;;
19;20037;4.13;;;;;;;
20;20038;4.04;;;;;;;
21;20039;4.04;;;;;;;
22;200310;3.96;;;;;;;
23;200311;3.98;;;;;;;
24;200312;3.98;;;;;;;
25;20041;4.20;;;;;;;
26;20042;4.53;;;;;;;
27;20043;4.23;;;;;;;
28;20044;4.21;;;;;;;
29;20045;4.29;;;;;;;
30;20046;4.37;;;;;;;
31;20047;4.49;;;;;;;
32;20048;4.82;;;;;;;
33;20049;5.06;;;;;;;
34;200410;5.40;;;;;;;
35;200411;5.43;;;;;;;
36;200412;5.19;;;;;;;
37;20051;4.54;;;;;;;
38;20052;4.27;;;;;;;
39;20053;4.39;;;;;;;
40;20054;4.60;;;;;;;
41;20055;4.60;;;;;;;
42;20056;4.33;;;;;;;
43;20057;4.47;;;;;;;
44;20058;3.95;;;;;;;
45;20059;3.51;;;;;;;
46;200510;3.05;;;;;;;
47;200511;2.91;;;;;;;
48;200512;3.33;;;;;;;
49;20061;3.94;;;;;;;
50;20062;3.75;;;;;;;
51;20063;3.41;;;;;;;
52;20064;3.20;;;;;;;
53;20065;3.00;;;;;;;
54;20066;3.18;;;;;;;
55;20067;3.06;;;;;;;
56;20068;3.47;;;;;;;
57;20069;4.09;;;;;;;
58;200610;4.29;;;;;;;
59;200611;4.09;;;;;;;
60;200612;4.05;;;;;;;
61;20071;3.98;;;;;;;
62;20072;4.11;;;;;;;
63;20073;4.21;;;;;;;
64;20074;3.99;;;;;;;
65;20075;3.95;;;;;;;
66;20076;3.98;;;;;;;
67;20077;4.14;;;;;;;
68;20078;4.03;;;;;;;
69;20079;3.79;;;;;;;
70;200710;3.74;;;;;;;
71;200711;3.93;;;;;;;
72;200712;3.76;;;;;;;
73;20081;3.70;;;;;;;
74;20082;3.72;;;;;;;
75;20083;4.25;;;;;;;
76;20084;4.55;;;;;;;
77;20085;4.95;;;;;;;
78;20086;5.26;;;;;;;
79;20087;5.39;;;;;;;
80;20088;5.57;;;;;;;
81;20089;5.47;;;;;;;
82;200810;5.78;;;;;;;
83;200811;6.23;;;;;;;
84;200812;6.53;;;;;;;
85;20091;6.28;;;;;;;
86;20092;6.20;;;;;;;
87;20093;6.04;;;;;;;
88;20094;6.17;;;;;;;
89;20095;5.98;;;;;;;
90;20096;5.74;;;;;;;
91;20097;5.44;;;;;;;
92;20098;5.08;;;;;;;
93;20099;4.89;;;;;;;
94;200910;4.50;;;;;;;
95;200911;3.86;;;;;;;
96;200912;3.57;;;;;;;
97;20101;4.46;;;;;;;
98;20102;4.83;;;;;;;
99;20103;4.97;;;;;;;
100;20104;4.27;;;;;;;
101;20105;3.92;;;;;;;
102;20106;3.69;;;;;;;
103;20107;3.64;;;;;;;
104;20108;3.68;;;;;;;
105;20109;3.70;;;;;;;
106;201010;4.02;;;;;;;
107;201011;4.32;;;;;;;
108;201012;4.40;;;;;;;
109;20111;3.78;;;;;;;
110;20112;3.57;;;;;;;
111;20113;3.04;;;;;;;
112;20114;3.36;;;;;;;
113;20115;3.25;;;;;;;
114;20116;3.28;;;;;;;
115;20117;3.55;;;;;;;
116;20118;3.42;;;;;;;
117;20119;3.14;;;;;;;
118;201110;3.20;;;;;;;
119;201111;3.48;;;;;;;
120;201112;3.82;;;;;;;
121;20121;4.05;;;;;;;
122;20122;3.87;;;;;;;
123;20123;3.73;;;;;;;
124;20124;3.41;;;;;;;
125;20125;3.85;;;;;;;
126;20126;4.34;;;;;;;
127;20127;4.42;;;;;;;
128;20128;4.57;;;;;;;
129;20129;4.77;;;;;;;
130;201210;4.60;;;;;;;
131;201211;4.18;;;;;;;
132;201212;3.57;;;;;;;
133;20131;3.25;;;;;;;
134;20132;3.55;;;;;;;
135;20133;4.25;;;;;;;
136;20134;4.65;;;;;;;
137;20135;4.63;;;;;;;
138;20136;4.09;;;;;;;
139;20137;3.47;;;;;;;
140;20138;3.46;;;;;;;
141;20139;3.39;;;;;;;
142;201310;3.36;;;;;;;
143;201311;3.62;;;;;;;
144;201312;3.97;;;;;;;
145;20141;4.48;;;;;;;
146;20142;4.23;;;;;;;
147;20143;3.76;;;;;;;
148;20144;3.50;;;;;;;
149;20145;3.51;;;;;;;
150;20146;3.75;;;;;;;
151;20147;4.07;;;;;;;
152;20148;4.15;;;;;;;
153;20149;4.22;;;;;;;
154;201410;4.30;;;;;;;
155;201411;4.17;;;;;;;
156;201412;4.08;;;;;;;
157;20151;3.07;;;;;;;
158;20152;3.00;;;;;;;
159;20153;3.14;;;;;;;
160;20154;3.06;;;;;;;
161;20155;2.88;;;;;;;
162;20156;2.87;;;;;;;
163;20157;2.74;;;;;;;
164;20158;2.59;;;;;;;
165;20159;2.52;;;;;;;
166;201510;2.48;;;;;;;
167;201511;2.21;;;;;;;
168;201512;2.13;;;;;;;
169;20161;2.61;;;;;;;
170;20162;2.87;;;;;;;
171;20163;2.60;;;;;;;
172;20164;2.54;;;;;;;
173;20165;2.60;;;;;;;
174;20166;2.54;;;;;;;
175;20167;2.65;;;;;;;
176;20168;2.73;;;;;;;
177;20169;2.97;;;;;;;
178;201610;3.06;;;;;;;
179;201611;3.31;;;;;;;
180;201612;3.36;;;;;;;
181;20171;4.72;;;;;;;
182;20172;4.86;;;;;;;
183;20173;5.35;;;;;;;
184;20174;5.82;;;;;;;
185;20175;6.16;;;;;;;
186;20176;6.31;;;;;;;
187;20177;6.44;;;;;;;
188;20178;6.66;;;;;;;
189;20179;6.35;;;;;;;
190;201710;6.37;;;;;;;
191;201711;6.63;;;;;;;
192;201712;6.77;;;;;;;
193;20181;5.55;;;;;;;
194;20182;5.34;;;;;;;
195;20183;5.04;;;;;;;
196;20184;4.55;;;;;;;
197;20185;4.51;;;;;;;
198;20186;4.65;;;;;;;
199;20187;4.81;;;;;;;
200;20188;4.90;;;;;;;
201;20189;5.02;;;;;;;
202;201810;4.90;;;;;;;
203;201811;4.72;;;;;;;
204;201812;4.83;;;;;;;
205;20191;4.37;;;;;;;
206;20192;3.94;;;;;;;
207;20193;4.00;;;;;;;
208;20194;4.41;;;;;;;
209;20195;4.28;;;;;;;
210;20196;3.95;;;;;;;
211;20197;3.78;;;;;;;
212;20198;3.16;;;;;;;
213;20199;3.00;;;;;;;
214;201910;3.02;;;;;;;
215;201911;2.97;;;;;;;
216;201912;2.83;;;;;;;
217;20201;3.24;;;;;;;
218;20202;3.70;;;;;;;
219;20203;3.25;;;;;;;
220;20204;2.15;;;;;;;
221;20206;2.84;;;;;;;
222;20207;3.62;;;;;;;
223;20207;3.33;;;;;;;
224;20208;4.05;;;;;;;
225;20209;4.01;;;;;;;
226;202010;4.09;;;;;;;
227;202011;3.33;;;;;;;
228;202012;3.15;;;;;;;
229;20211;3.54;;;;;;;
230;20212;3.76;;;;;;;
231;20213;4.67;;;;;;;
232;20214;6.08;;;;;;;
233;20215;5.89;;;;;;;
234;20216;5.88;;;;;;;
235;20217;5.81;;;;;;;
236;20218;5.59;;;;;;;
237;20219;6.00;;;;;;;
238;202110;6.24;;;;;;;
239;202111;7.37;;;;;;;
240;202112;7.36;;;;;;;
241;20221;7.07;;;;;;;
242;20222;7.28;;;;;;;
243;20223;7.45;;;;;;;
244;20224;7.68;;;;;;;
245;20225;7.65;;;;;;;
246;20226;7.99;;;;;;;
247;20227;8.15;;;;;;;
248;20228;8.70;;;;;;;
249;20229;8.70;;;;;;;
250;202210;8.41;;;;;;;
251;202211;7.80;;;;;;;
252;202212;7.82;;;;;;;
253;20231;7.91;;;;;;;
254;20232;7.62;;;;;;;
255;20233;6.85;;;;;;;
256;20234;6.25;;;;;;;
257;20235;5.84;;;;;;;
258;20236;5.06;;;;;;;
259;20237;4.79;;;;;;;
260;20238;4.64;;;;;;;
261;20239;4.45;;;;;;;
262;202310;4.26;;;;;;;
263;202311;4.32;;;;;;;
264;202312;4.66;;;;;;;
265;20241;4.88;;;;;;;
266;20242;4.40;;;;;;;
267;20243;4.42;;;;;;;
268;20244;4.65;;;;;;;
269;20245;4.69;;;;;;;
270;20246;4.98;;;;;;;
271;20247;5.57;;;;;;;
272;20248;4.99;;;;;;;
