id;AnoMes;vl_inflacao;;;;;
1;20021;4.53;;;;;
2;20022;5.05;;;;;
3;20023;5.81;;;;;
4;20024;6.36;;;;;
5;20025;7.28;;;;;
6;20026;7.63;;;;;
7;20027;7.98;;;;;
8;20028;9.70;;;;;
9;20029;10.29;;;;;
10;200210;11.41;;;;;
11;200211;12.93;;;;;
12;200212;12.85;;;;;
13;20031;12.43;;;;;
14;20032;11.46;;;;;
15;20033;10.26;;;;;
16;20034;10.33;;;;;
17;20035;8.93;;;;;
18;20036;7.98;;;;;
19;20037;6.87;;;;;
20;20038;5.20;;;;;
21;20039;5.18;;;;;
22;200310;3.58;;;;;
23;200311;1.52;;;;;
24;200312;0.34;;;;;
25;20041;0.34;;;;;
26;20042;0.17;;;;;
27;20043;0.83;;;;;
28;20044;0.33;;;;;
29;20045;0.33;;;;;
30;20046;0.49;;;;;
31;20047;1.15;;;;;
32;20048;1.48;;;;;
33;20049;1.15;;;;;
34;200410;1.48;;;;;
35;200411;2.49;;;;;
36;200412;3.67;;;;;
37;20051;3.51;;;;;
38;20052;2.98;;;;;
39;20053;2.64;;;;;
40;20054;2.95;;;;;
41;20055;3.27;;;;;
42;20056;3.27;;;;;
43;20057;2.77;;;;;
44;20058;3.41;;;;;
45;20059;3.73;;;;;
46;200510;4.22;;;;;
47;200511;3.88;;;;;
48;200512;3.38;;;;;
49;20061;3.55;;;;;
50;20062;3.86;;;;;
51;20063;3.85;;;;;
52;20064;3.34;;;;;
53;20065;3.48;;;;;
54;20066;3.96;;;;;
55;20067;4.91;;;;;
56;20068;5.02;;;;;
57;20069;5.48;;;;;
58;200610;5.30;;;;;
59;200611;5.45;;;;;
60;200612;5.30;;;;;
61;20071;5.92;;;;;
62;20072;6.04;;;;;
63;20073;5.72;;;;;
64;20074;6.15;;;;;
65;20075;6.88;;;;;
66;20076;7.00;;;;;
67;20077;7.10;;;;;
68;20078;7.03;;;;;
69;20079;6.68;;;;;
70;200710;7.25;;;;;
71;200711;7.98;;;;;
72;200712;8.58;;;;;
73;20081;8.82;;;;;
74;20082;9.93;;;;;
75;20083;10.82;;;;;
76;20084;11.45;;;;;
77;20085;10.59;;;;;
78;20086;10.81;;;;;
79;20087;11.42;;;;;
80;20088;11.73;;;;;
81;20089;11.96;;;;;
82;200810;11.72;;;;;
83;200811;10.94;;;;;
84;200812;10.63;;;;;
85;20091;9.59;;;;;
86;20092;8.10;;;;;
87;20093;8.58;;;;;
88;20094;8.45;;;;;
89;20095;8.41;;;;;
90;20096;7.96;;;;;
91;20097;6.96;;;;;
92;20098;6.75;;;;;
93;20099;6.34;;;;;
94;200910;6.17;;;;;
95;200911;6.04;;;;;
96;200912;5.91;;;;;
97;20101;6.29;;;;;
98;20102;6.14;;;;;
99;20103;5.71;;;;;
100;20104;5.16;;;;;
101;20105;4.77;;;;;
102;20106;4.64;;;;;
103;20107;4.14;;;;;
104;20108;3.75;;;;;
105;20109;3.50;;;;;
106;201010;3.14;;;;;
107;201011;3.37;;;;;
108;201012;3.49;;;;;
109;20111;3.48;;;;;
110;20112;3.70;;;;;
111;20113;3.68;;;;;
112;20114;4.10;;;;;
113;20115;4.33;;;;;
114;20116;4.55;;;;;
115;20117;5.00;;;;;
116;20118;5.19;;;;;
117;20119;5.42;;;;;
118;201110;5.75;;;;;
119;201111;5.96;;;;;
120;201112;6.18;;;;;
121;20121;6.05;;;;;
122;20122;6.25;;;;;
123;20123;6.10;;;;;
124;20124;6.02;;;;;
125;20125;6.11;;;;;
126;20126;5.65;;;;;
127;20127;5.52;;;;;
128;20128;4.94;;;;;
129;20129;4.93;;;;;
