Id_Indice;AnoMes;vl_ibovespa
1;20021;12,721.45
2;20022;14,033.29
3;20023;13,254.55
4;20024;13,085.12
5;20025;12,861.43
6;20026;11,139.16
7;20027;9,762.59
8;20028;10,382.20
9;20029;8,622.54
10;200210;10,167.71
11;200211;10,508.81
12;200212;11,268.47
13;20031;10,941.09
14;20032;10,280.61
15;20033;11,273.63
16;20034;12,556.70
17;20035;13,421.60
18;20036;12,972.58
19;20037;13,571.73
20;20038;15,174.49
21;20039;16,010.67
22;200310;17,982.49
23;200311;20,183.97
24;200312;22,236.39
25;20041;21,851.44
26;20042;21,755.02
27;20043;22,142.26
28;20044;19,607.23
29;20045;19,544.67
30;20046;21,148.91
31;20047;22,336.87
32;20048;22,803.19
33;20049;23,245.24
34;200410;23,052.18
35;200411;25,128.33
36;200412;26,196.25
37;20051;24,350.62
38;20052;28,139.13
39;20053;26,610.65
40;20054;24,843.70
41;20055;25,207.07
42;20056;25,051.21
43;20057;26,042.36
44;20058;28,044.83
45;20059;31,583.79
46;200510;30,193.51
47;200511;31,916.76
48;200512;33,455.94
49;20061;38,382.80
50;20062;38,610.39
51;20063;37,951.97
52;20064;40,363.42
53;20065;36,530.04
54;20066;36,630.66
55;20067;37,077.12
56;20068;36,232.22
57;20069;36,449.40
58;200610;39,262.79
59;200611;41,931.84
60;200612;44,473.71
61;20071;44,641.60
62;20072;43,892.31
63;20073;45,804.66
64;20074;48,956.39
65;20075;52,268.46
66;20076;54,392.06
67;20077;54,182.50
68;20078;54,637.24
69;20079;60,465.06
70;200710;65,317.70
71;200711;63,006.16
72;200712;63,886.10
73;20081;59,490.40
74;20082;63,489.30
75;20083;60,968.07
76;20084;67,868.46
77;20085;72,592.50
78;20086;65,017.58
79;20087;59,505.17
80;20088;55,680.41
81;20089;49,541.27
82;200810;37,256.84
83;200811;36,595.87
84;200812;37,550.31
85;20091;39,300.79
86;20092;38,183.31
87;20093;40,925.87
88;20094;47,289.53
89;20095;53,197.73
90;20096;51,465.46
91;20097;54,765.72
92;20098;56,488.98
93;20099;61,517.89
94;200910;61,545.50
95;200911;67,044.44
96;200912;68,588.41
97;20101;65,401.77
98;20102;66,503.27
99;20103;70,371.54
100;20104;67,529.73
101;20105;63,046.51
102;20106;60,935.90
103;20107;67,515.40
104;20108;65,145.45
105;20109;69,429.78
106;201010;70,673.30
107;201011;67,705.40
108;201012;69,304.81
109;20111;66,574.88
110;20112;67,383.22
111;20113;68,586.70
112;20114;66,132.86
113;20115;64,620.08
114;20116;62,403.64
115;20117;58,823.45
116;20118;56,495.12
117;20119;52,324.42
118;201110;58,338.39
119;201111;56,874.98
120;201112;56,754.08
121;20121;63,072.31
122;20122;65,811.73
123;20123;64,510.97
124;20124;61,820.26
125;20125;54,490.41
126;20126;54,354.63
127;20127;56,097.05
128;20128;57,061.45
129;20129;59,175.80
130;201210;57,068.18
131;201211;57,474.57
132;201212;60,952.08
133;20131;59,761.49
134;20132;57,424.29
135;20133;56,352.09
136;20134;55,910.37
137;20135;53,506.08
138;20136;47,457.13
139;20137;48,234.49
140;20138;50,011.75
141;20139;52,338.19
142;201310;54,256.20
143;201311;52,482.49
144;201312;51,507.16
145;20141;47,638.99
146;20142;47,094.40
147;20143;50,414.92
148;20144;51,626.69
149;20145;51,239.34
150;20146;53,168.22
151;20147;55,829.41
152;20148;61,288.15
153;20149;54,115.98
154;201410;54,628.60
155;201411;54,724.00
156;201412;50,007.41
157;20151;46,907.68
158;20152;51,583.09
159;20153;51,150.16
160;20154;56,229.38
161;20155;52,760.47
162;20156;53,080.88
163;20157;50,864.77
164;20158;46,625.52
165;20159;45,059.34
166;201510;45,868.81
167;201511;45,120.36
168;201512;43,349.96
169;20161;40,405.99
170;20162;42,793.86
171;20163;50,055.27
172;20164;53,910.50
173;20165;48,471.70
174;20166;51,526.92
175;20167;57,308.20
176;20168;57,901.10
177;20169;58,367.04
178;201610;64,924.51
179;201611;61,906.35
180;201612;60,227.28
181;20171;64,670.78
182;20172;66,662.10
183;20173;64,984.06
184;20174;65,403.24
185;20175;62,711.47
186;20176;62,899.97
187;20177;65,920.36
188;20178;70,835.05
189;20179;74,293.50
190;201710;74,308.49
191;201711;71,970.99
192;201712;76,402.08
193;20181;84,912.70
194;20182;85,353.60
195;20183;85,365.56
196;20184;86,115.50
197;20185;76,753.61
198;20186;72,762.52
199;20187;79,220.44
200;20188;76,677.53
201;20189;79,342.43
202;201810;87,423.55
203;201811;89,504.03
204;201812;87,887.27
205;20191;97,393.75
206;20192;95,584.35
207;20193;95,414.56
208;20194;96,353.33
209;20195;97,030.32
210;20196;100,967.20
211;20197;101,812.13
212;20198;101,134.61
213;20199;104,745.32
214;201910;107,219.83
215;201911;108,233.28
216;201912;115,645.34
217;20201;113,760.57
218;20202;104,171.57
219;20203;73,019.76
220;20204;80,505.89
221;20205;87,402.59
222;20206;95,055.82
223;20207;102,912.24
224;20208;99,369.15
225;20209;94,603.38
226;202010;93,952.40
227;202011;108,893.32
228;202012;119,017.24
229;20211;115,067.55
230;20212;110,035.17
231;20213;116,633.72
232;20214;118,893.84
233;20215;126,215.73
234;20216;126,801.66
235;20217;121,800.79
236;20218;118,781.03
237;20219;110,979.10
238;202110;103,500.71
239;202111;101,915.45
240;202112;104,822.44
241;20221;112,143.51
242;20222;113,141.94
243;20223;119,999.23
244;20224;107,876.16
245;20225;111,350.51
246;20226;98,541.95
247;20227;103,164.69
248;20228;109,522.88
249;20229;110,036.79
250;202210;116,037.08
251;202211;112,486.01
252;202212;109,734.60
253;20231;113,430.54
254;20232;104,931.93
255;20233;101,882.20
256;20234;104,431.63
257;20235;108,335.07
258;20236;118,087.00
259;20237;121,942.98
260;20238;115,741.81
261;20239;116,565.17
262;202310;113,143.67
263;202311;127,331.12
264;202312;134,185.24
265;20241;127,752.28
266;20242;129,020.02
267;20243;128,106.10
268;20244;125,924.19
269;20245;122,098.09
270;20246;123,906.55
271;20247;127,651.81
272;20248;136,004.01
;;
