DOL-BRL;DOL-MEX;DOL-ZAR;IBOVESPA;IPC;JSE TOP 40;Ano;Mes;ANOMES
2.380;9.164;11.626;12721.45;6927.87;10025.45;2002;1;20021
2.424;9.105;11.492;14033.29;6734.44;10632.71;2002;2;20022
2.345;9.064;11.486;13254.55;7361.86;10766.34;2002;3;20023
2.323;9.165;11.083;13085.12;7480.74;10660.26;2002;4;20024
2.475;9.510;10.162;12861.43;7031.64;10798.01;2002;5;20025
2.714;9.767;10.184;11139.16;6460.95;10233.44;2002;6;20026
2.941;9.779;10.103;9762.59;6021.84;8768.15;2002;7;20027
3.108;9.839;10.588;10382.20;6216.43;9225.96;2002;8;20028
3.355;10.071;10.597;8622.54;5728.46;8991.75;2002;9;20029
3.797;10.094;10.306;10167.71;5967.73;8850.29;2002;10;200210
3.592;10.195;9.651;10508.81;6156.83;8991.88;2002;11;200211
3.627;10.225;8.948;11268.47;6127.09;8682.03;2002;12;200212
3.438;10.622;8.695;10941.09;5954.35;8183.21;2003;1;20031
3.596;10.945;8.286;10280.61;5927.06;7796.61;2003;2;20032
3.457;10.905;8.051;11273.63;5914.03;7095.78;2003;3;20033
3.109;10.589;7.663;12556.70;6509.88;6924.49;2003;4;20034
2.952;10.253;7.660;13421.60;6699.18;7940.13;2003;5;20035
2.889;10.503;7.859;12972.58;7054.99;7680.74;2003;6;20036
2.883;10.458;7.546;13571.73;7355.07;8088.21;2003;7;20037
3.005;10.783;7.395;15174.49;7591.42;8470.33;2003;8;20038
2.920;10.923;7.306;16010.67;7822.48;8167.00;2003;9;20039
2.863;11.180;6.964;17982.49;8064.83;8966.62;2003;10;200310
2.915;11.149;6.721;20183.97;8554.48;8884.73;2003;11;200311
2.926;11.252;6.537;22236.39;8795.28;9495.76;2003;12;200312
2.853;10.920;6.940;21851.44;9428.77;9953.72;2004;1;20041
2.934;11.032;6.754;21755.02;9991.80;10005.41;2004;2;20042
2.907;11.019;6.614;22142.26;10517.50;9773.27;2004;3;20043
2.908;11.270;6.575;19607.23;9948.13;9455.17;2004;4;20044
3.102;11.520;6.800;19544.67;10036.29;9525.95;2004;5;20045
3.129;11.393;6.422;21148.91;10281.82;9200.62;2004;6;20046
3.038;11.468;6.135;22336.87;10116.39;9405.23;2004;7;20047
3.002;11.395;6.467;22803.19;10264.32;10242.00;2004;8;20048
2.891;11.487;6.535;23245.24;10957.37;10780.46;2004;9;20049
2.852;11.404;6.382;23052.18;11564.35;10556.09;2004;10;200410
2.788;11.371;6.031;25128.33;12102.55;11283.33;2004;11;200411
2.715;11.201;5.724;26196.25;12917.88;11405.72;2004;12;200412
2.690;11.263;5.959;24350.62;13097.12;11530.91;2005;1;20051
2.597;11.137;6.000;28139.13;13789.46;12188.73;2005;2;20052
2.706;11.155;6.033;26610.65;12676.90;12083.30;2005;3;20053
2.576;11.112;6.147;24843.70;12322.99;11324.02;2005;4;20054
2.455;10.976;6.327;25207.07;12964.39;12518.60;2005;5;20055
2.415;10.820;6.740;25051.21;13486.13;12859.20;2005;6;20056
2.370;10.672;6.697;26042.36;14409.66;13725.80;2005;7;20057
2.361;10.686;6.460;28044.83;14243.19;13949.50;2005;8;20058
2.295;10.786;6.366;31583.79;16120.08;15363.60;2005;9;20059
2.254;10.835;6.588;30193.51;15759.73;14946.05;2005;10;200510
2.211;10.672;6.655;31916.76;16830.96;15228.83;2005;11;200511
